nation_A,nation_B,distance_AB
IE,BA,2097.828108140972
BA,IE,2097.828108140972
IE,PK,6685.328818130244
PK,IE,6685.328818130244
IE,EC,8888.676676317506
EC,IE,8888.676676317506
IE,UZ,5370.004792780948
UZ,IE,5370.004792780948
IE,MA,2410.048081209716
MA,IE,2410.048081209716
IE,PR,1579.871983252542
PR,IE,1579.871983252542
IE,DE,1276.403793440505
DE,IE,1276.403793440505
IE,DO,6485.368157607652
DO,IE,6485.368157607652
IE,TG,4956.036886610991
TG,IE,4956.036886610991
IE,PY,9732.783482856732
PY,IE,9732.783482856732
IE,MZ,8999.688751323367
MZ,IE,8999.688751323367
IE,NL,918.222896935076
NL,IE,918.222896935076
IE,GY,7037.554203692592
GY,IE,7037.554203692592
IE,JM,7036.914049774592
JM,IE,7036.914049774592
IE,CI,4980.913044727975
CI,IE,4980.913044727975
IE,SE,1575.8754153976258
SE,IE,1575.8754153976258
IE,RW,7035.257913687101
RW,IE,7035.257913687101
IE,CL,11197.18054719034
CL,IE,11197.18054719034
IE,CG,6334.252668407596
CG,IE,6334.252668407596
IE,BO,9476.395594157671
BO,IE,9476.395594157671
IE,LS,9599.87037338854
LS,IE,9599.87037338854
IE,FJ,16101.75718974778
FJ,IE,16101.75718974778
IE,VN,10517.688276962404
VN,IE,10517.688276962404
IE,AW,1392.601602755452
AW,IE,1392.601602755452
IE,CA,5543.999923050195
CA,IE,5543.999923050195
IE,AR,11184.304948961246
AR,IE,11184.304948961246
IE,UY,10577.31498376652
UY,IE,10577.31498376652
GA,BF,2060.639309145093
BF,GA,2060.639309145093
GA,SK,5551.061637709775
SK,GA,5551.061637709775
GA,MM,9441.5124288738
MM,GA,9441.5124288738
GA,IS,7696.6122010139825
IS,GA,7696.6122010139825
GA,GD,8232.011202117823
GD,GA,8232.011202117823
GA,FI,7213.447186517719
FI,GA,7213.447186517719
GA,HK,11340.2093128817
HK,GA,11340.2093128817
GA,US,11953.870799289947
US,GA,11953.870799289947
GA,MN,11336.626015781869
MN,GA,11336.626015781869
GA,FR,5349.385622283141
FR,GA,5349.385622283141
GA,BN,11455.29806294834
BN,GA,11455.29806294834
GA,BR,7251.763990054637
BR,GA,7251.763990054637
GA,SI,5182.131303264204
SI,GA,5182.131303264204
GA,CY,4557.272243070589
CY,GA,4557.272243070589
GA,BS,10026.055660483882
BS,GA,10026.055660483882
GA,BH,5041.517850404961
BH,GA,5041.517850404961
GA,CZ,5631.627523813975
CZ,GA,5631.627523813975
GA,QA,5150.62849188551
QA,GA,5150.62849188551
GA,UA,5890.1368838586695
UA,GA,5890.1368838586695
GA,HU,5381.199551701195
HU,GA,5381.199551701195
GA,GE,5730.171832363384
GE,GA,5730.171832363384
GA,PT,4950.735972381437
PT,GA,4950.735972381437
GA,VE,8688.019892266813
VE,GA,8688.019892266813
GA,SG,10258.054671808231
SG,GA,10258.054671808231
GA,RU,6314.741744868959
RU,GA,6314.741744868959
GA,DZ,3330.0900777525408
DZ,GA,3330.0900777525408
GA,AE,5335.369288854232
AE,GA,5335.369288854232
GA,CD,1369.1976067133469
CD,GA,1369.1976067133469
GA,MX,12464.143062205983
MX,GA,12464.143062205983
GA,KG,7867.48960872306
KG,GA,7867.48960872306
GA,AU,13273.93710701374
AU,GA,13273.93710701374
GA,UG,2300.602572176464
UG,GA,2300.602572176464
GA,SV,11187.9108241415
SV,GA,11187.9108241415
GA,BE,5750.468411888919
BE,GA,5750.468411888919
GA,IL,11022.580011814283
IL,GA,11022.580011814283
GA,MK,4816.049524532952
MK,GA,4816.049524532952
GA,IN,7694.980285077589
IN,GA,7694.980285077589
GA,MY,11953.870799289947
MY,GA,11953.870799289947
GA,TR,5012.0074897242375
TR,GA,5012.0074897242375
GA,AZ,5855.580204177506
AZ,GA,5855.580204177506
GA,BG,5013.3756649975785
BG,GA,5013.3756649975785
GA,CH,5295.16981489476
CH,GA,5295.16981489476
GA,PL,5928.196521162099
PL,GA,5928.196521162099
GA,LU,5831.459153714238
LU,GA,5831.459153714238
GA,PE,9645.902669329387
PE,GA,9645.902669329387
GA,EE,6722.800720512145
EE,GA,6722.800720512145
GA,IR,5833.773299964655
IR,GA,5833.773299964655
GA,RO,5348.618922490105
RO,GA,5348.618922490105
GA,BB,8007.08468096211
BB,GA,8007.08468096211
GA,SM,4967.90954979184
SM,GA,4967.90954979184
GA,LY,3144.246381328005
LY,GA,3144.246381328005
GA,CM,630.9151924077372
CM,GA,630.9151924077372
GA,IT,4823.077566363114
IT,GA,4823.077566363114
GA,GB,6314.741744868959
GB,GA,6314.741744868959
GA,BM,8794.935297115788
BM,GA,8794.935297115788
GA,VG,8598.489267910642
VG,GA,8598.489267910642
GA,ME,12464.143062205983
ME,GA,12464.143062205983
GA,KW,5063.951251519288
KW,GA,5063.951251519288
GA,SY,4859.103981269889
SY,GA,4859.103981269889
GA,BZ,11159.649959720724
BZ,GA,11159.649959720724
GA,ET,3229.512994509498
ET,GA,3229.512994509498
GA,KR,12371.03699101711
KR,GA,12371.03699101711
GA,LB,4604.227691044102
LB,GA,4604.227691044102
GA,LT,6332.010850891544
LT,GA,6332.010850891544
GA,OM,5492.747533294585
OM,GA,5492.747533294585
GA,CN,10372.341223384994
CN,GA,10372.341223384994
GA,CO,9426.128694710324
CO,GA,9426.128694710324
GA,DK,6272.57717142626
DK,GA,6272.57717142626
GA,MU,5430.274410178041
MU,GA,5430.274410178041
GA,AL,10861.42944467997
AL,GA,10861.42944467997
GA,XK,4904.242978223169
XK,GA,4904.242978223169
GA,PA,10343.660308831384
PA,GA,10343.660308831384
GA,TH,5740.97178062226
TH,GA,5740.97178062226
GA,LV,6508.469233702092
LV,GA,6508.469233702092
GA,KN,5751.410550500641
KN,GA,5751.410550500641
GA,NZ,14941.376823024117
NZ,GA,14941.376823024117
GA,ZW,2768.32440298067
ZW,GA,2768.32440298067
GA,ER,6234.913894798122
ER,GA,6234.913894798122
GA,RS,5067.548187632895
RS,GA,5067.548187632895
GA,PH,12323.24807363836
PH,GA,12323.24807363836
GA,ZA,3397.6431471578526
ZA,GA,3397.6431471578526
GA,LC,8170.179831038459
LC,GA,8170.179831038459
GA,ST,5650.751517200049
ST,GA,5650.751517200049
GA,MO,11308.901746750773
MO,GA,11308.901746750773
GA,TT,8144.362763446635
TT,GA,8144.362763446635
GA,GR,4541.313366003438
GR,GA,4541.313366003438
GA,BJ,1556.653650149887
BJ,GA,1556.653650149887
GA,SR,7558.492880357022
SR,GA,7558.492880357022
GA,ID,11815.688431868148
ID,GA,11815.688431868148
GA,AO,5378.008734965143
AO,GA,5378.008734965143
GA,TW,12014.908398030437
TW,GA,12014.908398030437
GA,JP,13344.575596860284
JP,GA,13344.575596860284
GA,KH,10385.20490835639
KH,GA,10385.20490835639
GA,MD,9957.223894753402
MD,GA,9957.223894753402
GA,SA,4414.959194698624
SA,GA,4414.959194698624
GA,BY,6202.024998923928
BY,GA,6202.024998923928
GA,SN,3344.996971101443
SN,GA,3344.996971101443
GA,TN,3853.326797400997
TN,GA,3853.326797400997
GA,CW,4121.042844304172
CW,GA,4121.042844304172
GA,CU,10313.609710987392
CU,GA,10313.609710987392
GA,EG,3548.5647045261044
EG,GA,3548.5647045261044
GA,CR,5111.611698600259
CR,GA,5111.611698600259
GA,ES,4763.0207366785335
ES,GA,4763.0207366785335
GA,HR,5173.8329510069
HR,GA,5173.8329510069
GA,AT,5378.008734965143
AT,GA,5378.008734965143
GA,NO,6812.969869971839
NO,GA,6812.969869971839
GA,GT,11334.74585099848
GT,GA,11334.74585099848
GA,NI,6384.549915652695
NI,GA,6384.549915652695
GA,KZ,7432.231064723358
KZ,GA,7432.231064723358
GA,AG,8310.518643019343
AG,GA,8310.518643019343
GA,VC,4669.568580633517
VC,GA,4669.568580633517
GA,BA,5041.517850404961
BA,GA,5041.517850404961
GA,PK,7180.114068807025
PK,GA,7180.114068807025
GA,EC,10134.002640081722
EC,GA,10134.002640081722
GA,UZ,7032.972129908075
UZ,GA,7032.972129908075
GA,MA,4079.838399229256
MA,GA,4079.838399229256
GA,PR,5656.104299884826
PR,GA,5656.104299884826
GA,DE,5762.129059064293
DE,GA,5762.129059064293
GA,DO,9207.442364024351
DO,GA,9207.442364024351
GA,TG,1595.8201754041438
TG,GA,1595.8201754041438
GA,PY,7921.609912626202
PY,GA,7921.609912626202
GA,MZ,3249.5606732016745
MZ,GA,3249.5606732016745
GA,NL,5918.598649710119
NL,GA,5918.598649710119
GA,GY,7846.375834853408
GY,GA,7846.375834853408
GA,JM,9951.270091274992
JM,GA,9951.270091274992
GA,CI,2153.041199777812
CI,GA,2153.041199777812
GA,SE,6721.9100932704505
SE,GA,6721.9100932704505
GA,RW,2048.152841755471
RW,GA,2048.152841755471
GA,CL,9299.740146985983
CL,GA,9299.740146985983
GA,CG,440.3027035209412
CG,GA,440.3027035209412
GA,BO,8570.88437505837
BO,GA,8570.88437505837
GA,LS,10227.405018554931
LS,GA,10227.405018554931
GA,FJ,17492.540294255272
FJ,GA,17492.540294255272
GA,VN,10770.602729692751
VN,GA,10770.602729692751
GA,AW,5632.128355220349
AW,GA,5632.128355220349
GA,CA,11641.708888410369
CA,GA,11641.708888410369
GA,AR,8740.778628618293
AR,GA,8740.778628618293
GA,UY,7886.824770183341
UY,GA,7886.824770183341
BF,SK,4510.994085109428
SK,BF,4510.994085109428
BF,MM,10423.98834306444
MM,BF,10423.98834306444
BF,IS,6008.579374445273
IS,BF,6008.579374445273
BF,GD,6517.199842056204
GD,BF,6517.199842056204
BF,FI,6082.923155502257
FI,BF,6082.923155502257
BF,HK,12065.440268982582
HK,BF,12065.440268982582
BF,US,9895.591796549694
US,BF,9895.591796549694
BF,MN,9277.788358359196
MN,BF,9277.788358359196
BF,FR,3842.520667489016
FR,BF,3842.520667489016
BF,BN,12749.67387794799
BN,BF,12749.67387794799
BF,BR,6212.221855076584
BR,BF,6212.221855076584
BF,SI,4040.751957629863
SI,BF,4040.751957629863
BF,CY,4331.13863910801
CY,BF,4331.13863910801
BF,BS,8091.540115453559
BS,BF,8091.540115453559
BF,BH,4019.976785663933
BH,BF,4019.976785663933
BF,CZ,4471.230649713487
CZ,BF,4471.230649713487
BF,QA,5733.372434069339
QA,BF,5733.372434069339
BF,UA,5132.178241819529
UA,BF,5132.178241819529
BF,HU,4368.485577449465
HU,BF,4368.485577449465
BF,GE,5507.341575457574
GE,BF,5507.341575457574
BF,PT,3157.2502305663465
PT,BF,3157.2502305663465
BF,VE,7062.287029606123
VE,BF,7062.287029606123
BF,SG,11672.445217208706
SG,BF,11672.445217208706
BF,RU,4730.736917380494
RU,BF,4730.736917380494
BF,DZ,1829.385351375912
DZ,BF,1829.385351375912
BF,AE,6004.508113927602
AE,BF,6004.508113927602
